City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Tiksi,RU,71.6872,128.8694,-14.96,98,100,3.71,overcast clouds
110,Loknya,RU,56.83,30.1467,31.41,96,100,12.08,snow
111,Moose Factory,CA,51.2585,-80.6094,6.78,78,100,10.36,overcast clouds
112,Hami,CN,42.8,93.45,26.6,32,17,12.95,few clouds
113,Husavik,IS,66.0449,-17.3389,24.71,77,100,8.23,overcast clouds
114,Touros,BR,-5.1989,-35.4608,88.7,63,1,13.51,clear sky
115,Dutlwe,BW,-23.9833,23.9,76.53,43,98,8.37,overcast clouds
116,Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,18.41,scattered clouds
117,Udachnyy,RU,66.4167,112.4,-17.55,82,99,3.2,overcast clouds
118,Saldanha,ZA,-33.0117,17.9442,63.9,95,38,8.63,scattered clouds
119,Banda Aceh,ID,5.5577,95.3222,76.35,91,100,8.37,overcast clouds
120,Victoria,HK,22.2855,114.1577,62.26,84,100,8.99,overcast clouds
121,Shimoda,JP,34.6667,138.95,36.1,72,50,10.58,scattered clouds
122,Pasni,PK,25.2631,63.471,71.6,87,0,10.56,clear sky
123,Victoria Point,AU,-27.5833,153.3,67.95,91,75,1.99,broken clouds
124,Karratha,AU,-20.7377,116.8463,83.79,80,1,5.55,clear sky
125,Alta,NO,69.9689,23.2717,25.86,72,75,14.97,broken clouds
126,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,scattered clouds
127,Maniitsoq,GL,65.4167,-52.9,3.96,72,100,14.61,overcast clouds
128,Eureka,US,40.8021,-124.1637,60.21,75,9,0.76,clear sky
129,Tuatapere,NZ,-46.1333,167.6833,42.82,84,5,3.0,clear sky
130,Khani,GE,41.9563,42.9566,24.37,97,100,1.9,snow
131,Shihezi,CN,44.3,86.0333,0.99,90,8,6.08,clear sky
132,San Carlos De Bariloche,AR,-41.1456,-71.3082,80.51,20,8,7.34,clear sky
133,Thinadhoo,MV,0.5333,72.9333,82.62,69,75,11.05,broken clouds
