City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Veraval,IN,67.21,clear sky,20.9,70.3667,Lords Inn Somnath
178,Laguna,US,64.96,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
181,Quelimane,MZ,74.05,light rain,-17.8786,36.8883,Hotel Flamingo
183,Coquimbo,CL,69.73,scattered clouds,-29.9533,-71.3436,Hostel Del Puerto
185,Antalaha,MG,76.8,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
186,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
189,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
191,Port Elizabeth,ZA,78.1,light rain,-33.918,25.5701,39 On Nile Guest House
194,Yeppoon,AU,67.78,clear sky,-23.1333,150.7333,Villa Mar Colina
201,Voi,KE,76.77,moderate rain,-3.3945,38.563,Voi Wildlife Lodge
209,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
211,Kismayo,SO,78.48,broken clouds,-0.3582,42.5454,Agan-Hotel
217,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
221,Niquelandia,BR,73.2,moderate rain,-14.4739,-48.4597,Hotel Suinã
223,Abu Zabad,SD,64.99,clear sky,12.35,29.25,حامد محمد نور
224,Puerto Del Rosario,ES,65.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
225,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
226,Nishihara,JP,58.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
235,Chiredzi,ZW,78.55,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
236,Sur,OM,71.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
238,Shakawe,BW,69.91,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
241,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
249,Mackay,AU,73.69,overcast clouds,-21.15,149.2,International Lodge Motel
252,Keti Bandar,PK,70.38,clear sky,24.1447,67.4497,Haji laloo memon house
255,Sirajganj,BD,62.26,clear sky,24.45,89.7167,Sourav talukder
256,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
258,Salalah,OM,75.58,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
